implementation,solver,problem,num_txn,num_keys,num_values,synth_time_ms,check_time_ms,total_time_ms,initial_synth_clauses,total_synth_clauses,outcome,candidates,runId,endTime
all,GLUCOSE,RA_ax_b	CC_ax_b,5,3,5,68,27,98,9915,10986,SAT,2,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,3,5,23,12,37,9915,10986,SAT,2,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,3,5,19,11,31,9915,10986,SAT,2,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,4,5,15,5,20,11661,11661,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,4,5,25,7,33,11661,11661,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,4,5,21,6,28,11661,11661,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,23,7,31,14127,14127,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,24,5,29,14127,14127,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,17,4,21,14127,14127,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,6,5,17,4,21,16593,16593,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,6,5,16,4,21,16593,16593,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,6,5,18,4,22,16593,16593,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,7,5,17,4,21,19059,19059,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
all,GLUCOSE,RA_ax_b	CC_ax_b,5,7,5,16,2,19,19059,19059,SAT,1,30/03/2026 05:34:41,30/03/2026 05:34:41
