implementation,solver,problem,num_txn,num_keys,num_values,num_sessions,synth_time_ms,check_time_ms,total_time_ms,initial_synth_clauses,total_synth_clauses,outcome,candidates,runId,endTime
all,GLUCOSE,RA_ax_b	CC_ax_b,3,5,5,3,51,9,60,7543,7543,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,3,5,5,3,15,3,19,7543,7543,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,3,5,5,3,13,3,17,7543,7543,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,4,5,5,3,15,5,20,9893,9893,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,4,5,5,3,15,4,19,9893,9893,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,4,5,5,3,13,4,17,9893,9893,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,3,18,8,26,14804,14804,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,3,31,6,38,14804,14804,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,5,5,5,3,21,6,28,14804,14804,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,6,5,5,3,26,8,35,21133,21133,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,6,5,5,3,20,8,28,21133,21133,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,6,5,5,3,15,7,22,21133,21133,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,7,5,5,3,19,4,23,29106,29106,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
all,GLUCOSE,RA_ax_b	CC_ax_b,7,5,5,3,26,5,32,29106,29106,SAT,1,13/02/2026 10:11:43,13/02/2026 10:11:43
